"ID","IdadeResponsavel","RendaAntes","RendaMensal","NumeroFilhos","Vulneravel","EvasaoEscolar","TemInternet","SexoResponsavel","Regiao"
29,45,1361.61,1600,2,"Não","Não","Sim","Feminino","Urbana"
30,34,905.22,1100,2,"Sim","Não","Não","Masculino","Urbana"
31,45,2372.67,2500,1,"Não","Não","Sim","Feminino","Urbana"
32,47,3066.13,3200,4,"Não","Não","Sim","Masculino","Urbana"
33,50,2447.45,2500,3,"Não","Não","Não","Masculino","Rural"
34,34,2392.11,2500,1,"Não","Não","Não","Feminino","Urbana"
35,45,1206.3,1400,3,"Sim","Sim","Não","Feminino","Urbana"
36,23,1705.35,1900,6,"Sim","Não","Não","Feminino","Urbana"
37,32,1701.3,1900,4,"Não","Não","Sim","Feminino","Urbana"
38,31,2021.91,2200,4,"Não","Não","Não","Feminino","Urbana"
39,16,1381.03,1600,1,"Não","Não","Sim","Feminino","Rural"
40,40,1002.97,1200,2,"Sim","Não","Não","Feminino","Urbana"
41,42,1415.99,1700,6,"Não","Não","Sim","Feminino","Urbana"
42,36,3657.31,3800,1,"Sim","Não","Sim","Feminino","Urbana"
43,48,1330.66,1600,6,"Não","Não","Sim","Feminino","Urbana"
44,33,2343.02,2500,2,"Sim","Sim","Não","Feminino","Urbana"
45,26,419.57,600,1,"Não","Não","Sim","Feminino","Urbana"
46,44,3583.92,3900,2,"Não","Não","Sim","Masculino","Rural"
47,32,646.7,800,2,"Sim","Sim","Sim","Masculino","Urbana"
48,54,1732.29,1900,2,"Não","Não","Sim","Feminino","Urbana"
49,36,1653.72,1800,1,"Sim","Não","Sim","Feminino","Rural"
50,47,1438.7,1700,1,"Não","Sim","Sim","Masculino","Urbana"
51,43,446.61,600,2,"Sim","Sim","Sim","Masculino","Rural"
52,32,832.06,1100,2,"Sim","Sim","Sim","Feminino","Urbana"
53,56,2420.71,2600,1,"Sim","Sim","Não","Feminino","Rural"
54,46,1673.56,1900,1,"Não","Não","Sim","Feminino","Urbana"
55,41,1602.63,1800,5,"Não","Não","Sim","Feminino","Urbana"
56,43,1764.77,2000,2,"Não","Não","Sim","Feminino","Urbana"
57,47,1693.1,1900,1,"Não","Sim","Não","Masculino","Rural"
58,41,1737.09,1900,2,"Não","Não","Sim","Masculino","Rural"
59,10,2188.33,2300,2,"Não","Sim","Sim","Masculino","Urbana"
60,43,1949.57,2200,0,"Não","Não","Sim","Feminino","Urbana"
61,36,2443.99,2700,1,"Não","Não","Sim","Feminino","Urbana"
62,42,1479.19,1700,1,"Não","Sim","Não","Masculino","Urbana"
63,46,1813.05,2000,1,"Sim","Não","Sim","Feminino","Urbana"
64,54,121,300,3,"Sim","Sim","Não","Feminino","Urbana"
65,33,2527.53,2700,1,"Sim","Não","Não","Masculino","Urbana"
66,53,2049.1,2400,2,"Sim","Sim","Não","Feminino","Rural"
67,43,1552.38,1700,0,"Sim","Não","Não","Feminino","Urbana"
68,50,2907.81,3100,3,"Sim","Sim","Não","Feminino","Urbana"
69,49,1446.05,1600,1,"Não","Não","Não","Masculino","Urbana"
70,47,1787.09,2000,0,"Não","Sim","Sim","Feminino","Urbana"
71,30,708.2,800,3,"Sim","Não","Não","Masculino","Urbana"
72,39,1720.15,1900,0,"Não","Não","Sim","Feminino","Urbana"
73,46,924.67,1300,1,"Sim","Sim","Sim","Feminino","Urbana"
74,30,1088.38,1400,2,"Sim","Sim","Não","Feminino","Urbana"
75,35,2856.63,3100,0,"Não","Sim","Sim","Feminino","Urbana"
76,46,2264.9,2600,1,"Não","Não","Sim","Feminino","Urbana"
77,48,1101.05,1300,2,"Sim","Não","Sim","Masculino","Rural"
78,45,2268.18,2500,1,"Não","Não","Não","Masculino","Urbana"
79,31,2279.68,2500,1,"Sim","Não","Sim","Feminino","Urbana"
80,29,1943.81,2200,3,"Não","Não","Sim","Masculino","Urbana"
81,55,1531.13,1800,0,"Não","Sim","Sim","Feminino","Urbana"
82,43,1832.44,2000,1,"Sim","Não","Sim","Masculino","Urbana"
83,41,2221.36,2400,1,"Sim","Não","Sim","Feminino","Urbana"
84,39,1293.65,1500,0,"Não","Não","Sim","Masculino","Urbana"
85,28,2709.9,2900,1,"Não","Não","Não","Feminino","Urbana"
86,46,1449.54,1700,0,"Não","Não","Sim","Feminino","Urbana"
87,38,2406.66,2600,2,"Sim","Sim","Não","Feminino","Urbana"
88,38,1865.33,2000,2,"Sim","Sim","Sim","Feminino","Urbana"
89,49,1044.15,1300,2,"Sim","Sim","Não","Feminino","Rural"
90,48,1530.01,1800,3,"Não","Não","Sim","Feminino","Urbana"
91,54,2053.59,2200,3,"Não","Não","Não","Feminino","Urbana"
92,35,1160.76,1400,3,"Sim","Não","Não","Masculino","Urbana"
93,47,1107.76,1400,4,"Sim","Sim","Não","Feminino","Urbana"
94,54,2051.49,2200,2,"Não","Sim","Sim","Feminino","Rural"
95,29,2019.01,2200,2,"Não","Não","Não","Masculino","Urbana"
96,31,2327.19,2600,4,"Não","Não","Não","Feminino","Rural"
97,29,1981.39,2200,6,"Não","Não","Sim","Feminino","Urbana"
98,25,2322.26,2400,2,"Não","Sim","Não","Masculino","Rural"
99,41,1182.04,1400,1,"Não","Sim","Sim","Masculino","Urbana"
100,47,2809.05,3000,4,"Sim","Sim","Não","Masculino","Urbana"
101,52,2101.52,2300,0,"Não","Não","Não","Feminino","Urbana"
102,50,1345.07,1600,5,"Não","Não","Sim","Masculino","Urbana"
103,30,1360.01,1500,1,"Sim","Não","Não","Feminino","Rural"
104,58,495.36,800,2,"Sim","Sim","Não","Feminino","Urbana"
105,33,2110.67,2300,3,"Não","Sim","Sim","Feminino","Rural"
106,41,531.41,700,0,"Não","Não","Sim","Masculino","Urbana"
107,36,2598.83,2800,2,"Sim","Não","Não","Masculino","Urbana"
108,39,1449.66,1600,2,"Sim","Não","Sim","Masculino","Urbana"
109,42,2003.46,2100,3,"Sim","Não","Não","Masculino","Urbana"
110,41,944.9,1100,3,"Sim","Sim","Não","Feminino","Urbana"
111,40,2185.36,2400,4,"Não","Não","Sim","Feminino","Urbana"
112,41,2556.68,2800,2,"Não","Sim","Sim","Feminino","Rural"
113,35,1445.81,1600,1,"Não","Sim","Sim","Masculino","Urbana"
114,35,2474.57,2800,4,"Não","Não","Sim","Feminino","Urbana"
115,23,2000.22,2200,4,"Sim","Sim","Sim","Feminino","Urbana"
116,36,1911.35,2100,1,"Não","Não","Sim","Masculino","Urbana"
117,35,1921.81,2200,3,"Não","Não","Não","Masculino","Urbana"
118,67,1170.21,1300,2,"Sim","Não","Sim","Feminino","Rural"
119,26,1340.17,1500,2,"Não","Não","Sim","Feminino","Urbana"
120,41,651.27,800,4,"Sim","Sim","Sim","Masculino","Urbana"
121,25,427.53,700,1,"Não","Não","Sim","Masculino","Urbana"
122,25,1724.56,1900,1,"Sim","Sim","Não","Masculino","Rural"
123,41,766.13,900,2,"Sim","Sim","Não","Feminino","Urbana"
124,30,1456.27,1700,1,"Não","Sim","Sim","Feminino","Urbana"
125,40,355.9,600,1,"Sim","Não","Sim","Masculino","Urbana"
126,36,2412.86,2600,2,"Sim","Sim","Não","Feminino","Urbana"
127,34,1866.35,2100,1,"Não","Não","Sim","Feminino","Rural"
128,20,994.43,1200,2,"Sim","Não","Não","Masculino","Urbana"
129,28,1947.91,2100,4,"Não","Não","Não","Feminino","Urbana"
130,42,2201.16,2400,2,"Sim","Não","Sim","Feminino","Urbana"
131,46,419.71,600,2,"Sim","Não","Sim","Masculino","Rural"
132,35,1543.99,1700,3,"Sim","Sim","Não","Feminino","Rural"
133,40,1480.16,1700,3,"Sim","Sim","Não","Feminino","Urbana"
134,51,1950.93,2100,2,"Não","Não","Sim","Feminino","Urbana"
135,54,1113.57,1300,4,"Sim","Sim","Sim","Masculino","Urbana"
136,29,2110.52,2300,3,"Não","Não","Sim","Masculino","Rural"
137,39,1388.77,1600,4,"Sim","Não","Sim","Feminino","Urbana"
138,52,1260.18,1400,2,"Sim","Sim","Não","Masculino","Urbana"
139,35,682.47,800,2,"Sim","Não","Não","Feminino","Urbana"
140,39,358.93,100,0,"Sim","Não","Não","Feminino","Rural"
141,39,1243.53,1500,0,"Não","Não","Sim","Feminino","Rural"
142,31,2817.59,3000,2,"Sim","Não","Não","Feminino","Rural"
143,36,2039.88,2300,3,"Sim","Não","Sim","Masculino","Urbana"
144,40,1001.57,1200,3,"Sim","Não","Sim","Masculino","Urbana"
145,36,1884.88,2000,1,"Não","Sim","Não","Masculino","Urbana"
146,51,383.09,500,3,"Sim","Não","Não","Masculino","Urbana"
147,35,2063.56,2300,3,"Sim","Não","Sim","Feminino","Urbana"
148,36,1275.29,1500,1,"Sim","Sim","Não","Feminino","Urbana"
149,47,756.24,1000,0,"Sim","Não","Não","Feminino","Urbana"
150,29,610.3,800,2,"Sim","Não","Não","Masculino","Urbana"
151,40,2660.28,2900,5,"Sim","Sim","Sim","Feminino","Rural"
152,24,1320.4,1500,0,"Sim","Sim","Sim","Feminino","Rural"
153,52,1524.46,1800,4,"Sim","Sim","Não","Feminino","Urbana"
154,37,697.57,900,1,"Não","Não","Não","Masculino","Urbana"
155,35,1404.95,1600,4,"Não","Não","Sim","Feminino","Urbana"
156,28,2558.87,2700,0,"Sim","Sim","Não","Feminino","Urbana"
157,40,700.72,1000,4,"Sim","Não","Sim","Feminino","Urbana"
158,32,1535.62,1700,2,"Não","Não","Sim","Feminino","Urbana"
159,35,2936.43,3100,0,"Sim","Não","Não","Feminino","Urbana"
160,53,1194.21,1400,4,"Sim","Sim","Não","Feminino","Rural"
161,38,2701.83,2900,1,"Não","Não","Não","Masculino","Rural"
162,29,1428.37,1600,1,"Sim","Não","Não","Feminino","Urbana"
163,42,1088.01,1300,3,"Sim","Não","Não","Feminino","Urbana"
164,36,1740.12,1900,0,"Sim","Sim","Sim","Feminino","Urbana"
165,46,1439.79,1700,2,"Não","Não","Sim","Feminino","Rural"
166,54,1951.86,2200,2,"Sim","Não","Sim","Feminino","Urbana"
167,30,1657.06,1800,1,"Não","Não","Sim","Feminino","Urbana"
168,45,737.11,900,1,"Sim","Não","Não","Feminino","Rural"
169,41,931.69,1200,2,"Sim","Não","Sim","Masculino","Urbana"
170,49,1344.99,1600,1,"Não","Não","Não","Feminino","Urbana"
171,38,1094.33,1300,3,"Sim","Não","Sim","Masculino","Urbana"
172,48,760.13,1000,1,"Não","Sim","Sim","Masculino","Urbana"
173,23,1767.79,2000,2,"Não","Não","Sim","Feminino","Urbana"
174,57,1672.99,1900,2,"Não","Não","Não","Feminino","Urbana"
175,49,1469.23,1700,1,"Sim","Sim","Não","Feminino","Urbana"
176,38,2668.81,2900,0,"Não","Não","Sim","Feminino","Urbana"
177,26,1890.66,2100,1,"Sim","Sim","Não","Feminino","Urbana"
178,46,2553.58,2700,4,"Não","Não","Sim","Masculino","Rural"
179,45,941.68,1100,4,"Sim","Sim","Não","Feminino","Urbana"
180,40,372.31,600,4,"Sim","Não","Não","Feminino","Urbana"
181,42,1339.02,1500,1,"Não","Não","Sim","Masculino","Rural"
182,34,1809.61,2000,2,"Não","Sim","Sim","Feminino","Urbana"
183,44,2680.14,3000,1,"Não","Não","Sim","Feminino","Urbana"
184,43,1666.25,1800,1,"Não","Não","Sim","Feminino","Urbana"
185,37,1735.12,1900,2,"Sim","Não","Sim","Feminino","Urbana"
186,27,521.02,700,3,"Sim","Sim","Não","Feminino","Rural"
187,47,2816.82,3000,0,"Não","Não","Sim","Masculino","Urbana"
188,46,206.99,100,2,"Sim","Sim","Não","Feminino","Urbana"
189,32,1684.34,1900,3,"Não","Não","Não","Feminino","Rural"
190,24,693.04,900,0,"Não","Não","Sim","Masculino","Urbana"
191,42,2501.78,2800,3,"Não","Não","Sim","Masculino","Urbana"
192,37,1756.85,2000,3,"Não","Sim","Sim","Feminino","Urbana"
193,43,1664.65,1900,3,"Não","Não","Sim","Masculino","Urbana"
194,27,1945.81,2100,3,"Não","Não","Sim","Masculino","Urbana"
195,30,1600.17,1800,0,"Sim","Não","Não","Feminino","Urbana"
196,51,1149.16,1300,2,"Sim","Não","Sim","Masculino","Urbana"
197,44,2646.44,2900,2,"Não","Não","Sim","Feminino","Rural"
198,46,2560.11,2700,2,"Não","Não","Sim","Masculino","Urbana"
199,58,2195.83,2400,1,"Sim","Sim","Não","Feminino","Rural"
200,41,1892.16,2100,2,"Não","Não","Não","Feminino","Urbana"
201,20,2416.13,2600,1,"Não","Não","Sim","Feminino","Rural"
202,43,1508.55,1700,1,"Não","Não","Sim","Masculino","Urbana"
203,52,263,500,2,"Sim","Sim","Sim","Masculino","Urbana"
204,61,1320.18,1500,4,"Não","Não","Sim","Masculino","Urbana"
205,26,831.01,1100,1,"Não","Não","Sim","Feminino","Urbana"
206,28,1766.64,2000,2,"Sim","Não","Sim","Feminino","Urbana"
207,33,598.15,800,0,"Não","Sim","Sim","Feminino","Rural"
208,29,1818.35,2100,0,"Não","Não","Sim","Feminino","Urbana"
209,34,1848.76,2100,3,"Não","Não","Sim","Feminino","Rural"
210,38,2379.91,2600,2,"Não","Não","Sim","Feminino","Urbana"
211,28,2502.64,2700,2,"Sim","Sim","Não","Feminino","Rural"
212,60,1006.93,1200,2,"Sim","Sim","Não","Feminino","Urbana"
213,41,2761.49,3000,0,"Sim","Sim","Não","Masculino","Urbana"
214,39,1802.12,2000,3,"Não","Não","Sim","Feminino","Urbana"
215,45,1024.02,1300,1,"Não","Não","Sim","Masculino","Rural"
216,40,655.63,800,0,"Sim","Não","Não","Feminino","Rural"
217,39,3031.98,3300,3,"Não","Não","Sim","Feminino","Urbana"
218,55,2253.39,2400,2,"Não","Não","Sim","Feminino","Urbana"
219,38,2467.75,2700,4,"Sim","Sim","Sim","Masculino","Rural"
220,27,1215.01,1400,3,"Sim","Não","Não","Masculino","Urbana"
221,44,2296.72,2400,2,"Não","Não","Sim","Masculino","Rural"
222,36,494.85,600,3,"Sim","Não","Sim","Masculino","Rural"
223,35,1104.32,1200,4,"Sim","Sim","Não","Feminino","Urbana"
224,29,1252.81,1500,1,"Não","Não","Sim","Feminino","Urbana"
225,44,324.1,507.03,0,"Não","Não","Sim","Feminino","Urbana"
226,38,774.05,1000,4,"Sim","Sim","Não","Masculino","Urbana"
227,45,2027.6,2200,8,"Não","Não","Sim","Feminino","Rural"
228,38,630.69,800,1,"Não","Não","Sim","Feminino","Urbana"
229,33,1315.8,1500,1,"Não","Não","Sim","Feminino","Urbana"
230,53,1541.68,1700,5,"Não","Sim","Sim","Masculino","Urbana"
231,37,1082.73,1200,1,"Não","Não","Sim","Feminino","Rural"
232,49,1631.05,1800,3,"Sim","Sim","Não","Feminino","Rural"
233,28,1806.7,2000,3,"Sim","Não","Não","Masculino","Rural"
234,35,928.77,1200,2,"Sim","Sim","Não","Masculino","Urbana"
235,37,1063.25,1300,2,"Sim","Sim","Não","Masculino","Rural"
236,36,1885.27,2100,1,"Não","Não","Sim","Feminino","Urbana"
237,53,577.65,800,6,"Sim","Sim","Não","Feminino","Urbana"
238,40,2814.71,3000,3,"Não","Não","Sim","Feminino","Urbana"
239,42,2725.13,2900,1,"Não","Não","Não","Masculino","Rural"
240,31,1726.74,2000,2,"Não","Não","Sim","Feminino","Rural"
241,33,1636.06,1800,2,"Não","Não","Sim","Masculino","Urbana"
242,50,596.13,800,2,"Sim","Não","Não","Masculino","Urbana"
243,53,256.69,200,4,"Sim","Sim","Sim","Masculino","Urbana"
244,52,2917.88,3100,1,"Não","Não","Não","Feminino","Urbana"
245,26,307.27,500,6,"Sim","Sim","Não","Masculino","Urbana"
246,60,2934.9,3200,4,"Não","Não","Sim","Masculino","Rural"
247,50,1946.76,2100,4,"Não","Não","Sim","Masculino","Urbana"
248,40,964.25,1200,5,"Sim","Não","Não","Feminino","Urbana"
249,47,1730.37,1900,2,"Sim","Sim","Sim","Masculino","Urbana"
250,30,556.17,800,2,"Sim","Não","Não","Masculino","Urbana"
251,29,1549.63,1700,8,"Não","Não","Não","Feminino","Urbana"
252,40,2189.51,2400,2,"Não","Não","Sim","Masculino","Urbana"
253,28,1439.65,1700,1,"Não","Não","Sim","Masculino","Urbana"
254,42,2084.19,2300,1,"Não","Não","Sim","Feminino","Urbana"
255,53,1251.01,1500,3,"Não","Sim","Sim","Masculino","Urbana"
256,30,1908.21,2100,1,"Não","Não","Sim","Feminino","Rural"
257,33,1859.09,2100,0,"Sim","Sim","Sim","Feminino","Urbana"
258,40,1784.85,2000,2,"Não","Não","Não","Feminino","Urbana"
259,30,156.48,400,3,"Sim","Sim","Não","Feminino","Urbana"
260,36,2291.38,2500,2,"Sim","Sim","Sim","Masculino","Urbana"
261,49,1707.01,1900,4,"Sim","Não","Sim","Masculino","Urbana"
262,50,2460.99,2700,3,"Não","Não","Sim","Feminino","Rural"
263,44,1711.39,1900,4,"Sim","Sim","Não","Feminino","Urbana"
264,21,2347.68,2600,2,"Não","Sim","Sim","Feminino","Urbana"
265,39,1995.24,2200,1,"Não","Não","Sim","Feminino","Urbana"
266,51,3055.28,3300,0,"Sim","Sim","Não","Feminino","Urbana"
267,48,2081.7,2300,4,"Sim","Sim","Sim","Feminino","Urbana"
268,38,2065.94,2200,1,"Não","Não","Sim","Masculino","Urbana"
269,13,2036.14,2200,5,"Não","Não","Sim","Masculino","Rural"
270,41,2206.9,2400,2,"Não","Sim","Não","Feminino","Urbana"
271,46,2143,2300,0,"Sim","Sim","Não","Feminino","Urbana"
272,40,1472.94,1700,2,"Sim","Não","Sim","Feminino","Urbana"
273,42,2398.31,2600,5,"Não","Sim","Não","Masculino","Urbana"
274,44,1370.36,1500,2,"Não","Não","Sim","Masculino","Urbana"
275,36,2693.04,2900,2,"Sim","Sim","Não","Feminino","Urbana"
276,53,2718.2,2800,3,"Não","Não","Sim","Feminino","Rural"
277,45,1983.2,2200,2,"Não","Não","Sim","Feminino","Urbana"
278,28,2517.14,2700,2,"Não","Não","Sim","Feminino","Rural"
279,54,2036.6,2200,4,"Não","Não","Sim","Feminino","Urbana"
280,52,1081.71,1400,0,"Não","Não","Sim","Feminino","Rural"
281,48,1554.69,1800,2,"Não","Não","Não","Masculino","Urbana"
282,23,2130.06,2300,4,"Sim","Não","Não","Feminino","Urbana"
283,34,12.82,300,2,"Sim","Sim","Sim","Feminino","Urbana"
284,46,625.08,900,0,"Não","Sim","Sim","Feminino","Urbana"
285,40,1092.16,1300,1,"Não","Não","Sim","Feminino","Rural"
286,43,2707.41,2900,0,"Não","Sim","Sim","Feminino","Urbana"
287,65,879.31,1100,3,"Sim","Não","Sim","Feminino","Urbana"
288,32,1133.73,1300,1,"Não","Não","Sim","Feminino","Rural"
289,19,676.07,900,2,"Sim","Não","Sim","Feminino","Rural"
290,43,230.4,400,2,"Sim","Sim","Não","Feminino","Urbana"
291,33,2474.53,2700,1,"Não","Não","Sim","Feminino","Rural"
292,44,1916,2100,2,"Não","Sim","Sim","Masculino","Urbana"
293,32,1958.77,2100,5,"Não","Não","Sim","Feminino","Urbana"
294,62,1735.03,1900,2,"Não","Não","Sim","Masculino","Urbana"
295,39,1703.06,1900,2,"Não","Não","Sim","Masculino","Rural"
296,35,2229.69,2300,4,"Não","Sim","Sim","Masculino","Urbana"
297,38,932.76,1100,1,"Não","Não","Sim","Masculino","Urbana"
298,49,618.5,800,2,"Sim","Sim","Sim","Masculino","Urbana"
299,41,1758.7,1900,4,"Não","Não","Sim","Feminino","Urbana"
300,24,1668.54,1800,3,"Sim","Sim","Não","Feminino","Urbana"
301,40,1161.95,1400,0,"Não","Não","Não","Feminino","Urbana"
302,48,1724.17,1900,1,"Não","Não","Sim","Feminino","Urbana"
303,40,1705.58,1900,4,"Não","Não","Sim","Feminino","Urbana"
304,47,527.36,700,1,"Não","Sim","Não","Feminino","Rural"
305,39,1992.22,2200,3,"Sim","Não","Não","Feminino","Rural"
306,39,1401.55,1600,1,"Não","Sim","Sim","Feminino","Urbana"
307,45,922.7,1100,3,"Sim","Sim","Sim","Masculino","Urbana"
308,50,1524.47,1700,1,"Sim","Sim","Sim","Masculino","Urbana"
309,28,1261.94,1400,1,"Não","Não","Sim","Feminino","Urbana"
310,40,1808.8,2000,1,"Não","Não","Sim","Feminino","Urbana"
311,39,1527.12,1700,0,"Não","Não","Sim","Masculino","Urbana"
312,32,1648.16,1800,4,"Não","Não","Sim","Feminino","Urbana"
313,30,1116.5,1400,0,"Não","Não","Sim","Feminino","Urbana"
314,34,1783.46,2000,1,"Sim","Não","Sim","Feminino","Rural"
315,46,1850.62,2100,2,"Sim","Sim","Não","Feminino","Urbana"
316,36,1096.82,1300,3,"Sim","Sim","Não","Masculino","Urbana"
317,32,101.43,200,2,"Sim","Sim","Sim","Masculino","Urbana"
318,42,1567.09,1700,2,"Sim","Não","Não","Feminino","Urbana"
319,28,1980.39,2200,1,"Não","Não","Não","Feminino","Urbana"
320,50,3247.01,3500,2,"Não","Não","Sim","Masculino","Rural"
321,35,2291.99,2500,1,"Sim","Sim","Não","Feminino","Urbana"
322,42,246.91,400,5,"Sim","Sim","Não","Masculino","Urbana"
323,41,2673.94,2900,2,"Não","Não","Não","Feminino","Urbana"
324,40,3185.85,3400,0,"Não","Sim","Sim","Masculino","Urbana"
325,58,2694,2900,1,"Não","Não","Sim","Masculino","Rural"
326,32,1904.02,2100,2,"Não","Não","Não","Feminino","Urbana"
327,51,920.3,1100,3,"Sim","Sim","Não","Feminino","Urbana"
328,40,1237.7,1400,3,"Sim","Sim","Não","Masculino","Urbana"
329,32,1425.11,1600,0,"Não","Não","Sim","Feminino","Rural"
330,39,2335.83,2500,1,"Não","Sim","Não","Feminino","Urbana"
331,47,1189.21,1300,1,"Sim","Não","Sim","Feminino","Urbana"
332,36,1064.47,1400,2,"Sim","Sim","Sim","Feminino","Urbana"
333,32,966.23,1200,2,"Sim","Sim","Não","Feminino","Rural"
334,42,1178.19,1400,4,"Sim","Sim","Não","Feminino","Rural"
335,50,771.11,1000,2,"Sim","Sim","Não","Masculino","Urbana"
336,39,3082.68,3200,1,"Não","Não","Sim","Feminino","Urbana"
337,26,1428.04,1600,0,"Não","Não","Sim","Feminino","Rural"
338,27,1552.35,1800,0,"Não","Não","Não","Feminino","Urbana"
339,32,1407.88,1600,0,"Não","Não","Sim","Feminino","Urbana"
340,35,2755.49,3000,0,"Sim","Não","Não","Feminino","Urbana"
341,40,2343.95,2600,3,"Não","Não","Sim","Masculino","Urbana"
342,47,1069.29,1300,0,"Não","Não","Sim","Masculino","Urbana"
343,36,2872.27,3100,4,"Sim","Não","Sim","Feminino","Rural"
344,29,1422.06,1600,1,"Sim","Sim","Não","Masculino","Urbana"
345,46,2714.11,2900,0,"Não","Não","Sim","Feminino","Urbana"
346,43,1395.26,1600,2,"Não","Não","Sim","Masculino","Urbana"
347,52,1200.39,1400,2,"Sim","Sim","Não","Feminino","Rural"
348,23,1576.73,1800,1,"Não","Não","Sim","Feminino","Urbana"
349,41,948.13,1200,1,"Não","Não","Sim","Feminino","Urbana"
350,54,1934.88,2200,2,"Não","Não","Sim","Feminino","Urbana"
351,47,1329.32,1600,1,"Não","Não","Não","Feminino","Urbana"
352,32,1524.05,1700,2,"Não","Não","Sim","Feminino","Urbana"
353,47,1344.23,1600,3,"Sim","Não","Sim","Masculino","Urbana"
354,31,3007.3,3100,3,"Sim","Não","Não","Feminino","Urbana"
355,35,2511.75,2700,3,"Sim","Não","Não","Masculino","Urbana"
356,52,1671.33,1800,5,"Não","Sim","Sim","Masculino","Urbana"
357,37,2323.08,2500,3,"Não","Não","Sim","Masculino","Urbana"
358,48,2086.91,2300,0,"Não","Não","Sim","Masculino","Rural"
359,37,2041.16,2200,2,"Não","Não","Sim","Feminino","Rural"
360,24,135.05,300,2,"Sim","Não","Sim","Masculino","Urbana"
361,32,2507.57,2800,5,"Não","Não","Sim","Feminino","Urbana"
362,29,1262.18,1500,2,"Sim","Sim","Não","Feminino","Rural"
363,35,2295.92,2500,2,"Não","Não","Sim","Masculino","Rural"
364,37,2890.98,3100,1,"Não","Não","Sim","Feminino","Urbana"
365,38,1252.5,1400,3,"Sim","Não","Não","Feminino","Urbana"
366,38,495.45,700,1,"Sim","Sim","Não","Feminino","Urbana"
367,59,2794.57,3000,0,"Não","Não","Não","Masculino","Urbana"
368,26,2106.47,2400,4,"Sim","Sim","Não","Masculino","Urbana"
369,36,847.16,1000,2,"Sim","Não","Sim","Feminino","Rural"
370,43,1229.56,1500,3,"Não","Não","Não","Feminino","Urbana"
371,56,953.96,1200,3,"Sim","Sim","Não","Masculino","Urbana"
372,41,1272.03,1500,1,"Sim","Não","Não","Feminino","Rural"
373,52,2341.05,2500,1,"Não","Sim","Não","Feminino","Urbana"
374,24,2618.49,2900,1,"Não","Não","Sim","Masculino","Rural"
375,54,2120.69,2300,2,"Não","Não","Sim","Feminino","Urbana"
376,33,217.43,400,2,"Sim","Sim","Não","Feminino","Urbana"
377,37,869.55,1100,1,"Não","Não","Sim","Masculino","Urbana"
378,29,1567.96,1800,0,"Não","Não","Sim","Feminino","Urbana"
379,41,1103.04,1300,2,"Sim","Não","Sim","Masculino","Urbana"
380,58,782.64,1000,2,"Sim","Não","Sim","Feminino","Urbana"
381,64,1918.94,2100,2,"Sim","Não","Sim","Feminino","Rural"
382,29,1851.81,2000,1,"Sim","Não","Sim","Feminino","Urbana"
383,45,1897.66,2100,1,"Sim","Não","Não","Masculino","Urbana"
384,54,2203.85,2400,2,"Não","Sim","Não","Feminino","Rural"
385,38,2660.64,2900,0,"Não","Não","Sim","Feminino","Urbana"
386,38,981.09,1200,3,"Sim","Não","Não","Feminino","Urbana"
